Cod CIM,Denumire comerciala,DCI,Forma farmaceutica,Concentratie,Firma / tara producatoare APP,Firma / tara detinatoare APP,Cod ATC,Actiune terapeutica,Prescriptie,Nr / data ambalaj APP,Ambalaj,Volum ambalaj,Valabilitate ambalaj,Bulina,Diez,Stea,Triunghi,Dreptunghi,Data actualizare
W53942002,FLUCONAZOL ARENA 50 mg,FLUCONAZOLUM,CAPS.,50mg,ARENA GROUP S.A. - ROMANIA,ARENA GROUP S.A. - ROMANIA,J02AC01,ANTIMICOTICE DE UZ SISTEMIC DERIVATI DE TRIAZOL SI TETRAZOL,PRF,12785/2019/01,Cutie cu 1 blist. PVC/Al x 7 caps.,,3 ani,,,,,,06.03.26
W68087001,FLUCONAZOL BIOEEL 150 mg,FLUCONAZOLUM,CAPS.,150mg,SLAVIA PHARM S.R.L. - ROMANIA,BIOEEL MANUFACTURING S.R.L. - ROMANIA,J02AC01,ANTIMICOTICE DE UZ SISTEMIC DERIVATI DE TRIAZOL,PRF,13166/2020/01,Cutie cu 1 blist. PVC/Al x 1 caps.,,4 ani,,,,,,06.03.26
W58456004,FLUCONAZOL INFOMED 2 mg/ml,FLUCONAZOLUM,SOL. PERF.,2mg/ml,INFOMED FLUIDS SRL - ROMANIA,INFOMED FLUIDS S.R.L. - ROMANIA,J02AC01,ANTIMICOTICE DE UZ SISTEMIC DERIVATI DE TRIAZOL SI TETRAZOL,PR,12578/2019/01,"Cutie cu 20 pungi din PP (prevazute cu un tub conector, ambalate într-un film din PET/Al/PET/PP) x 100 ml sol. perf.",,2 ani-dupa ambalarea pt. comercializare; dupa prima deschidere-se utilizeaza imediat,,,,,,06.03.26
W58456005,FLUCONAZOL INFOMED 2 mg/ml,FLUCONAZOLUM,SOL. PERF.,2mg/ml,INFOMED FLUIDS SRL - ROMANIA,INFOMED FLUIDS S.R.L. - ROMANIA,J02AC01,ANTIMICOTICE DE UZ SISTEMIC DERIVATI DE TRIAZOL SI TETRAZOL,PR,12578/2019/02,"Cutie cu 10 pungi din PP (prevazute cu un tub conector, ambalate într-un film din PET/Al/PET/PP) x 200 ml sol. perf.",,2 ani-dupa ambalarea pt. comercializare; dupa prima deschidere-se utilizeaza imediat,,,,,,06.03.26
W55502001,FLUCONAZOL KABI 2 mg/ml,FLUCONAZOLUM,SOL. PERF.,2mg/ml,FRESENIUS KABI POLSKA SP. Z O.O - POLONIA,FRESENIUS KABI ROMANIA S.R.L. - ROMANIA,J02AC01,ANTIMICOTICE DE UZ SISTEMIC DERIVATI DE TRIAZOL SI TETRAZOL,PR,11339/2019/01,Cutie cu 1 flac. PEJD (KabiPac) x 50 ml sol. perf.,,3 ani,,,,,,06.03.26
W55502002,FLUCONAZOL KABI 2 mg/ml,FLUCONAZOLUM,SOL. PERF.,2mg/ml,FRESENIUS KABI POLSKA SP. Z O.O - POLONIA,FRESENIUS KABI ROMANIA S.R.L. - ROMANIA,J02AC01,ANTIMICOTICE DE UZ SISTEMIC DERIVATI DE TRIAZOL SI TETRAZOL,PR,11339/2019/02,Cutie cu 10 flac. PEJD (KabiPac) x 50 ml sol. perf.,,3 ani,,,,,,06.03.26
W55502003,FLUCONAZOL KABI 2 mg/ml,FLUCONAZOLUM,SOL. PERF.,2mg/ml,FRESENIUS KABI POLSKA SP. Z O.O - POLONIA,FRESENIUS KABI ROMANIA S.R.L. - ROMANIA,J02AC01,ANTIMICOTICE DE UZ SISTEMIC DERIVATI DE TRIAZOL SI TETRAZOL,PR,11339/2019/03,Cutie cu 20 flac. PEJD (KabiPac) x 50 ml sol. perf.,,3 ani,,,,,,06.03.26
W55502004,FLUCONAZOL KABI 2 mg/ml,FLUCONAZOLUM,SOL. PERF.,2mg/ml,FRESENIUS KABI POLSKA SP. Z O.O - POLONIA,FRESENIUS KABI ROMANIA S.R.L. - ROMANIA,J02AC01,ANTIMICOTICE DE UZ SISTEMIC DERIVATI DE TRIAZOL SI TETRAZOL,PR,11339/2019/04,Cutie cu 25 flac. PEJD (KabiPac) x 50 ml sol. perf.,,3 ani,,,,,,06.03.26
W55502005,FLUCONAZOL KABI 2 mg/ml,FLUCONAZOLUM,SOL. PERF.,2mg/ml,FRESENIUS KABI POLSKA SP. Z O.O - POLONIA,FRESENIUS KABI ROMANIA S.R.L. - ROMANIA,J02AC01,ANTIMICOTICE DE UZ SISTEMIC DERIVATI DE TRIAZOL SI TETRAZOL,PR,11339/2019/05,Cutie cu 30 flac. PEJD (KabiPac) x 50 ml sol. perf.,,3 ani,,,,,,06.03.26
W55502006,FLUCONAZOL KABI 2 mg/ml,FLUCONAZOLUM,SOL. PERF.,2mg/ml,FRESENIUS KABI POLSKA SP. Z O.O - POLONIA,FRESENIUS KABI ROMANIA S.R.L. - ROMANIA,J02AC01,ANTIMICOTICE DE UZ SISTEMIC DERIVATI DE TRIAZOL SI TETRAZOL,PR,11339/2019/06,Cutie cu 40 flac. PEJD (KabiPac) x 50 ml sol. perf.,,3 ani,,,,,,06.03.26
